timestamp,bitcoin_price,ethereum_price,tether_price,ripple_price,binancecoin_price,solana_price,usd-coin_price,dogecoin_price,cardano_price,staked-ether_price,tron_price,wrapped-bitcoin_price,wrapped-steth_price,chainlink_price,litecoin_price,avalanche-2_price,sui_price,stellar_price,the-open-network_price,leo-token_price,shiba-inu_price,hedera-hashgraph_price,usds_price,polkadot_price,mantra-dao_price,weth_price,hyperliquid_price,ethena-usde_price,bitcoin-cash_price,wrapped-eeth_price
2024-09-26,63152.0,2578.57,1.001,0.583895,587.45,148.11,1.001,0.108514,0.380728,2578.34,0.15011,62957.0,3037.74,12.11,66.65,27.29,1.7,0.095943,5.72,5.79,1.523e-05,0.058443,1.016,4.64,1.19,2578.29,8.43,0.999896,343.53,2701.14
2024-09-30,65664.0,2659.61,0.999926,0.642592,596.61,158.62,0.999778,0.12476,0.397474,2656.43,0.156437,65607.0,3136.44,12.48,69.34,29.09,1.76,0.10163,5.85,5.85,1.936e-05,0.061418,1.038,4.77,1.22,2657.95,8.43,0.999204,352.85,2784.88
2024-10-04,60728.0,2348.0,0.999632,0.521659,543.93,136.65,0.999659,0.105032,0.344776,2346.79,0.157411,60625.0,2772.21,10.64,63.39,24.64,1.68,0.090174,5.32,5.87,1.604e-05,0.051569,0.960769,4.12,1.27,2348.65,8.43,0.999664,319.99,2464.15
2024-10-08,62287.0,2422.75,0.998782,0.529816,564.55,144.21,0.999269,0.108889,0.351343,2423.46,0.155731,62204.0,2862.85,11.14,64.82,26.58,2.03,0.091234,5.21,6.0,1.752e-05,0.05252,0.983653,4.14,1.39,2423.43,8.43,0.998067,323.83,2542.29
2024-10-12,62392.0,2435.71,0.999987,0.538303,572.7,145.32,0.9999,0.11076,0.351115,2434.94,0.159744,62264.0,2882.46,10.9,65.5,27.41,2.05,0.09163,5.21,6.08,1.763e-05,0.051388,1.001,4.17,1.43,2435.37,8.43,0.998464,326.71,2556.31
2024-10-16,66962.0,2602.08,0.999312,0.540963,593.79,154.62,0.999379,0.11715,0.358095,2601.65,0.158713,66829.0,3065.91,11.42,70.77,28.16,2.05,0.092888,5.22,6.06,1.818e-05,0.055931,0.999347,4.4,1.56,2599.2,8.43,0.998676,354.71,2730.8
2024-10-20,68389.0,2649.98,1.0,0.544328,598.06,159.59,0.999995,0.144817,0.351605,2648.96,0.157236,68320.0,3131.2,11.43,74.86,28.11,2.06,0.097132,5.27,6.08,1.905e-05,0.053551,0.99606,4.44,1.5,2649.74,8.43,1.0,363.69,2784.24
2024-10-24,66684.0,2524.1,0.999119,0.525826,584.52,171.31,1.0,0.1399,0.350024,2521.92,0.160178,66494.0,2977.28,11.33,70.07,26.77,1.98,0.094444,5.13,6.06,1.767e-05,0.051368,0.995275,4.21,1.38,2523.25,8.43,0.999855,348.17,2651.28
2024-10-28,67939.0,2505.5,0.998396,0.516356,588.35,176.63,0.999667,0.144264,0.33955,2504.5,0.16385,67833.0,2967.79,10.97,71.03,25.71,1.75,0.094113,4.96,6.04,1.722e-05,0.04876378,0.998919,4.12,1.44,2506.52,8.43,0.999189,351.93,2635.54
2024-11-01,70265.0,2514.75,0.998207,0.509112,575.58,168.4,0.999351,0.161612,0.341602,2515.55,0.168065,70227.0,2982.77,11.43,69.13,25.03,1.97,0.092392,4.84,6.11,1.793e-05,0.04626689,0.994141,3.96,1.4,2515.35,8.43,0.99819,358.14,2651.15
